FN,FP,TN,TP,accuracy,f1,precision,recall,threshold
0,3362,0,3343,0.49858314690529454,0.6654060509554139,0.49858314690529454,1.0,0.1
0,3362,0,3343,0.49858314690529454,0.6654060509554139,0.49858314690529454,1.0,0.2
0,3362,0,3343,0.49858314690529454,0.6654060509554139,0.49858314690529454,1.0,0.3
38,3317,45,3305,0.49962714392244595,0.6633216256899147,0.49909392932648744,0.9886329644032307,0.4
1403,1760,1602,1940,0.5282624906785981,0.5509016044299305,0.5243243243243243,0.5803170804666468,0.5
3306,22,3340,37,0.5036539895600298,0.02175191064079953,0.6271186440677966,0.011067903081064912,0.6
3343,0,3362,0,0.5014168530947054,0.0,0.0,0.0,0.7
3343,0,3362,0,0.5014168530947054,0.0,0.0,0.0,0.8
3343,0,3362,0,0.5014168530947054,0.0,0.0,0.0,0.9
